,word_1,word_2
0,schwermut,schwermut
1,schicksal,schicksal
2,kleinod,kleinod
3,purpur,purpur
4,wankte,stehn
5,selber,herunter
6,hoheit,stand
7,auge,auf
8,osten,posten
9,tag,vermag
10,gemessen,dessen
11,vergessen,zipressen
12,bestrebt,erhebt
13,hast,last
14,würze,stürze
15,mühseligkeit,seligkeit
16,genung,erinnerung
17,gefreut,beut
18,erneut,erneut
19,ganz,glanz
20,nützen,beschützen
21,nicht,entspricht
22,tragen,schlagen
23,fahr,unfruchtbar
24,gaben,haben
25,ruh,du
26,mitempfinden,schwinden
27,behagen,eingetragen
28,seyn,ein
29,beschleicht,entweicht
30,zähnen,gähnen
31,geschlossen,verdrossen
32,ermannung,spannung
33,ruhn,thun
34,hast,last
35,neiders,mitleiders
36,jugendblüthe,gemüthe
37,vorbei,sei
38,berufen,schufen
39,genick,geschick
40,wollte,sollte
41,angebahnt,vorgemahnt
42,treibt,bleibt
43,merken,stärken
44,gethan,kan
45,weiterschreiten,schwierigkeiten
46,zeit,schwierigkeit
47,gewöhnen,versöhnen
48,dich,sich
49,ein,seyn
50,werden,beschwerden
51,geboren,auserkoren
52,wollen,sollen
53,dann,mann
54,warnen,umgarnen
55,zusammen,verdammen
56,du,zu
57,gefahren,bewahren
58,erfuhr,nur
59,lernbeschwerden,werden
60,lehrer,schwerer
61,wissenschaft,kraft
62,zeit,bereit
63,kommen,frommen
64,treiben,unterbleiben
65,beigetragen,sagen
66,zelt,welt
67,natur,nur
68,allen,zugefallen
69,angeboren,verloren
70,waffen,anerschaffen
71,kind,sind
72,nimmt,bestimmt
73,theil,heil
74,erneut,freut
75,augenblick,geschick
76,ungeheuer,theuer
77,überlassen,fassen
78,gezwängt,drängt
79,natur,nur
80,enge,menge
81,horden,worden
82,seiten,ausbreiten
83,besetzt,setzt
84,saamenkörnern,dörnern
85,streun,erneun
86,erfüllt,eingehüllt
87,hervorzudringen,entspringen
88,hand,entstand
89,lauern,dauern
90,menschenfähigkeit,zeit
91,platz,ersatz
92,grüßt,süßt
93,brechen,ansprechen
94,seyn,schein
95,an,bahn
96,tagen,herumgeschlagen
